well	location	timepoint	time	area	sd
B02	j	0	0.0	272.0	555.4015346115852
B02	j	1	7.583333333333333	787.0	822.6687326645068
B02	j	2	13.733333333333333	5076.0	725.2044403665219
B02	j	3	19.9	23086.0	925.9534542258178
B02	j	4	24.083333333333332	60234.0	1031.3511920042015
B02	j	5	27.733333333333334	81885.0	1113.0243576272162
B02	j	6	31.35	109710.0	1173.4433514970033
B02	j	7	34.96666666666667	137718.0	1192.8783776935775
B02	j	8	38.6	146374.0	1206.4676933640005
B02	j	9	42.21666666666667	146855.0	1212.5519530273239
B02	j	10	45.75	151007.0	1204.5513495574733
B02	j	11	49.28333333333333	150638.0	1197.4198243860978
B02	j	12	52.8	155709.0	1188.1051565643013
B02	j	13	56.31666666666667	152420.0	1176.771848512881
B02	j	14	59.85	152569.0	1169.7507014250402
B02	j	15	63.36666666666667	95358.0	1103.6122518015075
B02	j	16	66.9	93633.0	1095.262245237778
B02	k	0	0.016666666666666666	307.0	587.3002092978205
B02	k	0	0.016666666666666666	219.0	603.3314475960375
B02	k	0	0.016666666666666666	304.0	550.6186492457875
B02	k	1	7.583333333333333	1333.0	681.0665546868223
B02	k	1	7.583333333333333	992.0	727.6101488775939
B02	k	1	7.583333333333333	862.0	803.0517105353281
B02	k	2	13.75	6918.0	837.981204017617
B02	k	2	13.75	8775.0	747.9199946641552
B02	k	2	13.75	5851.0	768.9619542678776
B02	k	3	19.9	28982.0	979.4900407947641
B02	k	3	19.9	40502.0	1005.2357349672634
B02	k	3	19.9	21492.0	984.6054293127679
B02	k	4	24.1	66993.0	1092.3971928732822
B02	k	4	24.1	101471.0	1089.73256981524
B02	k	4	24.1	40713.0	1092.739827453094
B02	k	5	27.733333333333334	87112.0	1173.3073625192583
B02	k	5	27.733333333333334	148596.0	1166.659806850593
B02	k	5	27.733333333333334	57632.0	1149.0518236825217
B02	k	6	31.35	111225.0	1238.1730004333983
B02	k	6	31.35	181843.0	1202.9713945075982
B02	k	6	31.35	57472.0	1157.4832967059715
B02	k	7	34.96666666666667	114855.0	1247.1156209432284
B02	k	7	34.96666666666667	209360.0	1223.4573415664108
B02	k	7	34.96666666666667	793.0	642.7605752191547
B02	k	8	38.6	75.0	469.18143208807425
B02	k	8	38.6	220341.0	1227.9064774767717
B02	k	8	38.6	169.0	581.6808124948622
B02	k	9	42.233333333333334	81.0	569.5988235179972
B02	k	9	42.233333333333334	232922.0	1231.8403142973582
B02	k	9	42.233333333333334	177.0	616.6623480706372
B02	k	10	45.75	3.0	313.038336310427
B02	k	10	45.75	237893.0	1215.190502024947
B02	k	10	45.75	46.0	524.899891536725
B02	k	11	49.28333333333333	126084.0	1131.239675044361
B02	k	11	49.28333333333333	245320.0	1209.93786529402
B02	k	11	49.28333333333333	2.0	1.4142135623730951
B02	k	12	52.8	2.0	149.19953083036154
B02	k	12	52.8	248977.0	1194.41946326782
B02	k	12	52.8	2.0	106.77312395916867
B02	k	13	56.333333333333336	116569.0	1087.2409974783452
B02	k	13	56.333333333333336	249889.0	1189.6928325409124
B02	k	13	56.333333333333336	37.0	632.6637759927887
B02	k	14	59.85	215947.0	1047.094938556814
B02	k	14	59.85	249826.0	1175.9802879459378
B02	k	14	59.85	22.0	431.1615239562312
B02	k	15	63.38333333333333	17.0	435.19907547479653
B02	k	15	63.38333333333333	250484.0	1169.3591865373671
B02	k	15	63.38333333333333	89.0	685.9521418503559
B02	k	16	66.91666666666667	2.0	290.62088706767105
B02	k	16	66.91666666666667	252969.0	1154.8976186688724
B02	k	16	66.91666666666667	86.0	658.4799040172206
